  PID  PPID  %CPU COMM
 1529     1   0.0 /System/Library/CoreServices/CrashReporterSupportHelper
 1647     1   0.0 /usr/libexec/InternetSharing
 1704     1   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
 1830     1   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Resources/bin/simdiskimaged
 2003     1   0.0 /usr/libexec/diskimagesiod
 2132     1   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
 2133     1   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.arm64.xpc/Contents/MacOS/SimLaunchHost.arm64
 2158     1   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
 2160     1   0.0 /usr/libexec/NRDUpdated
 2187     1   0.0 /System/Library/AssetsV2/com_apple_MobileAsset_RecoveryOSUpdateBrain/28f9b40aedc0bda53bdc29e31682c998de89e5cb.asset/AssetData/com.apple.NRD.UpdateBrainService.xpc/Contents/MacOS/com.apple.NRD.UpdateBrainService
 2194     1   0.0 /usr/libexec/biomesyncd
 2401     1   0.0 /usr/libexec/trustd
 2607     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
 2620 60693   0.2 /Applications/Xcode.app/Contents/Developer/usr/bin/git
 2633     1   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
 2635     1   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
 2642     1   0.0 /usr/sbin/distnoted
 3044  2620   0.0 /Applications/Xcode.app/Contents/Developer/usr/libexec/git-core/git
 3046  3044  34.9 /Applications/Xcode.app/Contents/Developer/usr/libexec/git-core/git-remote-https
 3096  3046   1.0 /Applications/Xcode.app/Contents/Developer/usr/libexec/git-core/git
 3098   323   0.0 ps
 4905     1   0.0 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
 4907     1   0.0 /usr/sbin/cfprefsd
 4911     1   0.0 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
 5216     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 5218     1   0.0 /usr/sbin/cfprefsd
 5814     1   0.0 /System/Library/Frameworks/Contacts.framework/Support/contactsd
 6710     1   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
 6714     1   0.0 /usr/sbin/distnoted
 6729     1   0.0 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
 7554     1   0.0 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
10900     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
10930     1   0.0 /usr/bin/ssh-agent
11416     1   0.0 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
11417     1   0.0 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
11622     1   0.0 /System/Applications/Messages.app/Contents/PlugIns/Messages Assistant Extension.appex/Contents/MacOS/Messages Assistant Extension
12047     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
13607     1   0.0 /usr/libexec/seputil
15370     1   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/EAUpdaterService.xpc/Contents/MacOS/EAUpdaterService
16612     1   0.0 /usr/sbin/cfprefsd
17119     1   0.0 /usr/libexec/keychainsharingmessagingd
18410     1   0.0 ./target/release/lev-serve
18413 18410   0.0 <defunct>
18415 18410   0.0 <defunct>
18417 18410   0.0 <defunct>
18419 18410   0.0 <defunct>
20883     1   0.0 /System/Library/PrivateFrameworks/NewsDaemon.framework/newsd
20979     1   0.0 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
